zip,compid,compname,comrate,indrate,resrate
56481,12647,"Minnesota Power, Inc.",62.41,41.45,70.69
56236,14232,Otter Tail Power Co.,64.49,50.72,74.26
49808,19578,Upper Peninsula Power Co.,115.43,73.07,137.87
20551,15270,Potomac Electric Power Co.,116.6,0,116.65
33703,06455,Florida Power Corp.,95.25,83.1,117.91
74936,14063,Oklahoma Gas & Electric Co. (OG&E),66.14,48.58,80.16
75249,A3483,Oncor Electric Delivery Co.,0,0,0
22713,15263,Potomac Edison Co.,80.14,52.31,69.2
04441,03266,Central Maine Power Co.,129.63,0,144.58
16421,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
88007,05701,El Paso Electric Co.,102.73,68.45,120.86
71115,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
56256,14232,Otter Tail Power Co.,64.49,50.72,74.26
60304,04110,Commonwealth Edison Co.,76.48,55.66,86.59
25235,12796,Monongahela Power Co.,59.39,41.09,72.5
24624,00733,Appalachian Power Co.,52.6,36.59,58.52
30453,07140,Georgia Power Co.,76.3,54.04,88.77
79755,A3483,Oncor Electric Delivery Co.,0,0,0
95568,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
97203,14354,PacifiCorp.,59.39,40.36,69.43
49316,04254,Consumers Energy Co.,84.9,65.38,95.35
12770,14154,"Orange & Rockland Utilities, Inc.",120.91,85.38,153.98
32730,06455,Florida Power Corp.,95.25,83.1,117.91
18640,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
08876,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
90621,17609,Southern California Edison Co.,144.53,119.66,157.72
77380,07806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
40769,10171,Kentucky Utilities Co.,57.83,45.19,60.29
44413,14716,Pennsylvania Power Co.,73.87,54.63,82.95
45176,03542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
80421,15466,PSC of Colorado,74.07,58.3,88.42
97532,14354,PacifiCorp.,59.39,40.36,69.43
92867,17609,Southern California Edison Co.,144.53,119.66,157.72
79220,20404,AEP Texas North Co.,0,0,0
96062,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
99346,14354,PacifiCorp.,59.39,40.36,69.43
24528,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
28349,03046,Carolina Power & Light Co.,74.34,57.46,90.23
52003,09162,Interstate Power & Light Co.,0,0,0
50310,12341,MidAmerican Energy Co.,65.04,40.61,86.15
70427,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
14878,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
17821,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
63829,19436,Union Electric Co.,56.56,41.72,69.64
49103,09324,Indiana Michigan Power Co.,60.17,43.52,67.29
08610,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
26264,12796,Monongahela Power Co.,59.39,41.09,72.5
76140,A3483,Oncor Electric Delivery Co.,0,0,0
59242,12819,Montana Dakota Utilities Co.,0,0,0
24065,00733,Appalachian Power Co.,52.6,36.59,58.52
83286,14354,PacifiCorp.,59.39,40.36,69.43
98045,15500,"Puget Sound Energy, Inc.",80.14,75.83,74.95
16229,20387,West Penn Power Co.,61.26,47.16,71.66
77708,07806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
53821,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
85638,00803,Arizona Public Service Co.,87.13,61.11,98.47
56542,14232,Otter Tail Power Co.,64.49,50.72,74.26
01463,11804,Massachusetts Electric Co.,160.29,159.57,154.32
08012,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
79382,17718,Southwestern Public Service Co.,76.73,54.1,82.84
76460,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
93560,17609,Southern California Edison Co.,144.53,119.66,157.72
47108,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
94080,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
71450,03265,Cleco Power LLC,103.71,77.5,110.06
39073,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
12974,07601,Green Mountain Power Corp.,109.59,75.73,132.56
56373,12647,"Minnesota Power, Inc.",62.41,41.45,70.69
47638,17633,Southern Indiana Gas & Electric Co.,71.27,51.51,89.69
66763,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
24566,00733,Appalachian Power Co.,52.6,36.59,58.52
49633,04254,Consumers Energy Co.,84.9,65.38,95.35
10560,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
15537,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
03801,15472,PSC of New Hampshire,136.75,128.88,151.42
29590,03046,Carolina Power & Light Co.,74.34,57.46,90.23
10118,04226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
44067,03755,Cleveland Electric Illuminating Co.,111.47,66.68,107.92
53050,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
21830,05027,Delmarva Power & Light Co.,103.72,58.26,118.69
63834,10171,Kentucky Utilities Co.,57.83,45.19,60.29
33908,06452,Florida Power & Light Co.,106.06,88.71,119
21136,01167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
14810,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
35581,00195,Alabama Power Co.,81.85,49.23,89.32
25059,00733,Appalachian Power Co.,52.6,36.59,58.52
31015,07140,Georgia Power Co.,76.3,54.04,88.77
15459,20387,West Penn Power Co.,61.26,47.16,71.66
