zip,compid,compname,comrate,indrate,resrate
24260,00733,Appalachian Power Co.,52.6,36.59,58.52
61732,03252,Central Illinois Light Co.,65.82,52,69.39
45661,04062,Columbus Southern Power Co.,68.9,51.29,87.05
17362,12390,Metropolitan Edison Co.,82.19,64.62,93.56
25109,00733,Appalachian Power Co.,52.6,36.59,58.52
13328,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
17740,20387,West Penn Power Co.,61.26,47.16,71.66
28702,05416,Duke Power Co.,63.62,44.52,78.13
76251,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
57038,12341,MidAmerican Energy Co.,65.04,40.61,86.15
12992,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
27278,05416,Duke Power Co.,63.62,44.52,78.13
51340,09162,Interstate Power & Light Co.,0,0,0
49829,19578,Upper Peninsula Power Co.,115.43,73.07,137.87
34957,06452,Florida Power & Light Co.,106.06,88.71,119
93420,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
06708,04176,Connecticut Light & Power Co.,148.18,124.12,174.86
44311,13998,Ohio Edison Co.,100.63,59.53,104.78
70129,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
02539,04089,Commonwealth Electric Co.,172.95,163.03,195.27
01260,11804,Massachusetts Electric Co.,160.29,159.57,154.32
73173,15474,PSC of Oklahoma,74.19,58.93,84.1
72069,00814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
16617,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
43988,14006,Ohio Power Co.,63.8,43.58,75.25
